Neighbourhood,Hood_ID,Bachelor,Type1,One_Bed,Type2,Two_Bed,Type3,Three_Bed,Type32,Avg_Rent
Forest Hill South,101,0,a,2085,a,0,a,0,a,2085
Forest Hill North,102,1349,a,1679,a,2117,a,2660,a,1951.25
Lawrence Park South,103,1442,a,1927,a,2539,a,0,a,1969.333333
Lawrence Park North,105,1377,a,1655,a,0,a,0,a,1516
Humewood-Cedarvale,106,1426,a,1769,a,2300,a,0,a,1831.666667
Oakwood,107,1294,a,1610,a,1800,a,0,a,1568
Briar Hill-Belgravia,108,1519,a,1723,a,1981,a,0,a,1741
Caledonia-Fairbank,109,1341,a,1502,a,1702,a,0,a,1515
Keelesdale-Eglinton West,110,1426,a,1769,a,2300,a,0,a,1831.666667
Rockcliffe-Smythe,111,1007,a,1320,a,1772,a,0,a,1366.333333
Beechborough-Greenbrook,112,0,a,1293,a,1643,a,0,a,1468
Weston,113,1897,a,1862,a,2121,a,2122,a,2000.5
Lambton Baby Point,114,1090,a,1494,a,1720,a,0,a,1434.666667
Mount Dennis,115,1897,a,1862,a,2121,a,2122,a,2000.5
Steeles,116,1426,a,1769,a,2300,a,0,a,1831.666667
Tam O'Shanter-Sullivan,118,1304,a,1541,a,1774,a,1794,a,1603.25
Wexford-Maryvale,119,1339,a,1444,a,1827,a,2143,a,1688.25
Clairlea-Birchmount,120,0,a,1515,a,1647,a,1970,a,1710.666667
Oakridge,121,1421,a,1840,a,2404,a,0,a,1888.333333
Birchcliffe-Cliffside,122,1178,a,1650,a,1978,a,0,a,1602
Cliffcrest,123,1897,a,1862,a,2121,a,2122,a,2000.5
Kennedy Park,124,0,a,1218,a,1299,a,0,a,1258.5
Ionview,125,1213,a,1561,a,1810,a,1794,a,1594.5
Dorset Park,126,0,a,1898,a,2300,a,2815,a,2337.666667
Agincourt,128,0,a,1500,a,1695,a,1908,a,1701
Agincourt/Malvern,129,0,a,1500,a,1695,a,1908,a,1701
Milliken,130,1426,a,1769,a,2300,a,0,a,1831.666667
Centennial Scarborough,133,1897,a,1862,a,2121,a,2122,a,2000.5
Highland Creek,134,1426,a,1769,a,2300,a,0,a,1831.666667
Morningside,135,1559,a,1616,a,1879,a,1985,a,1759.75
West Hill,136,0,a,1718,a,1767,a,0,a,1742.5
Eglinton East,138,1278,a,1386,a,1714,a,2031,a,1602.25
Scarborough Village,139,0,a,1613,a,2100,a,2278,a,1997
Guildwood,140,0,a,1644,a,2155,a,2229,a,2009.333333
Golfdale/Cedarbrae/Woburn,141,0,a,1898,a,2300,a,2815,a,2337.666667
Woburn,142,1203,a,1523,a,1696,a,1715,a,1534.25
West Rouge,143,1897,a,1862,a,2121,a,2122,a,2000.5
Morningside Heights,144,0,a,1644,a,2155,a,2229,a,2009.333333
Malvern West,145,0,a,1898,a,2300,a,2815,a,2337.666667
Malvern East,146,0,a,1644,a,2155,a,2229,a,2009.333333
